nombre,tienda,categoria_principal,precio,moneda,simbolo,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,id
ROG Delta S Animate,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming ligeros USB-C ®  con pantalla personalizable AniMe Matrix™, Hi-Fi ESS 9281 Quad DAC™, MQA, micrófono con supresión de ruido asistida por IA, compatible con PC, PlayStation ®  5, Nintendo Switch™.",{},ROG Delta S Animate,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-s-animate-model/,https://dlcdnwebimgs.asus.com/gain/459EC147-E757-4C4A-92CE-23EB38B0C81D/w185,90YH037M-B2UA00,R_90YH037M-B2UA00
ROG Delta White Edition,ASUS,auriculares audio,,,,0.0,0,"Auriculares RGB para juegos con Hi-Res ESS Quad-DAC, efecto de iluminación RGB circular y conector USB-C para PC, PS5, consolas y juegos móviles.",{},ROG Delta White Edition,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-white-edition-model/,https://dlcdnwebimgs.asus.com/gain/5A3E1722-D327-4AF4-B846-FCA8678C99A1/w185,90YH02HW-B2UA00,R_90YH02HW-B2UA00
ROG Delta S Wireless,ASUS,auriculares audio,,,,0.0,0,"Auriculares inalámbricos ligeros para juegos con conectividad de 2,4 GHz y Bluetooth, controladores ASUS Essence de 50 mm, micrófonos AI Beamforming con AI Noise Cancelation, compatibles con PC, Mac, PlayStation ®  5, Nintendo Switch™.",{},ROG Delta S Wireless,"['Headsets & Audio', 'Headsets', 'Wireless Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/wireless-headsets/rog-delta-s-wireless-model/,https://dlcdnwebimgs.asus.com/gain/F223AA9E-DC85-421B-990A-EA07C27D19E5/w185,90YH03IW-B3UA00,R_90YH03IW-B3UA00
ROG Cetra II Core Moonlight White,ASUS,auriculares audio,,,,0.0,0,"Auriculares in-ear para gaming ROG Cetra II Core Moonlight White con drivers ASUS Essence especialmente afinados y conector de 3,5 mm compatibles con PC, portátiles, teléfonos móviles, ROG Phone 5, PlayStation 5, Xbox Series X/S y Nintendo Switch.",{},ROG Cetra II Core Moonlight White,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-ii-core-moonlight-white-model/,https://dlcdnwebimgs.asus.com/gain/A822B517-F1E6-4EB4-9F6E-0648EDF28F7D/w185,90YH0360-B2UA00,R_90YH0360-B2UA00
ROG Delta S Core,ASUS,auriculares audio,,,,0.0,0,"Auriculares ligeros para juegos de 3,5 mm con controladores ASUS Essence de 50 mm, sonido envolvente 7.1 virtual, compatibles con PC, PlayStation ®  5, Nintendo Switch™ y Xbox.",{},ROG Delta S Core,"['Headsets & Audio', 'Headsets', '3.5mm Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/3-5mm-headsets/rog-delta-s-core-model/,https://dlcdnwebimgs.asus.com/gain/6AA18038-5009-46AE-8E57-46A18AFE3C89/w185,90YH03JC-B1UA00,R_90YH03JC-B1UA00
ROG Cetra True Wireless,ASUS,auriculares audio,,,,0.0,0,"Auriculares para juegos ROG Cetra True Wireless con conexión inalámbrica de baja latencia, ANC, batería de hasta 27 horas con case de carga inalámbrica, resistencia al agua IPX4 y compatibilidad con EQ/virtual 7.1 a través de Armoury Crate.",{},ROG Cetra True Wireless,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-true-wireless-model/,https://dlcdnwebimgs.asus.com/gain/DDB1FED2-DAD2-4BB3-9F9F-7449831E0B51/w185,90YH03G1-B5UA00,R_90YH03G1-B5UA00
ROG Pelta,ASUS,auriculares audio,,,,0.0,0,"Auriculares para juegos RGB trimodo con tecnología inalámbrica ROG SpeedNova, controladores de diafragma de 50 mm ROG chapados en titanio, firma de sonido inalámbrica refinada, micrófono boom de 10 mm de banda superancha, diseño ligero de 309 gr., además de iluminación ASUS Aura Sync RGB.",{},ROG Pelta,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-pelta/,https://dlcdnwebimgs.asus.com/gain/7B1D87D2-A41F-445F-8802-BD7D52E0BB45/w185,90YH0410-BHAA00,R_90YH0410-BHAA00
ROG Cetra True Wireless SpeedNova,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming inalámbricos Bluetooth ®  y 2,4 GHz con tecnología inalámbrica ROG SpeedNova, audio de 24 bits a 96 kHz y Dirac Opteo™, micrófonos con IA de conducción ósea, ANC adaptativo con modo Auto, hasta 46 horas de autonomía, Hybrid Multipoint, y soporte de iluminación ASUS Aura RGB.",{},ROG Cetra True Wireless SpeedNova,"['Headsets & Audio', 'In-ear headphone']",https://rog.asus.com/ar/headsets-audio/in-ear-headphone/rog-cetra-true-wireless-speednova/,https://dlcdnwebimgs.asus.com/gain/51F6F5BD-6477-4573-9B67-551253E12B03/w185,90YH03Y0-BTAA00,R_90YH03Y0-BTAA00
ROG Delta,ASUS,auriculares audio,,,,0.0,0,"Auriculares gaming con Hi-Res ESS Quad-DAC, iluminación RGB circular y conector USB-C para PC, consolas y gaming móvil",{},ROG Delta,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-model/,https://dlcdnwebimgs.asus.com/gain/D7DAAA71-A71D-4C96-A3E7-ED2C88217668/w185,90YH00Z1-B2UA00,R_90YH00Z1-B2UA00
ROG Delta S,ASUS,auriculares audio,,,,0.0,0,"Auriculares ligeros USB-C para juegos con micrófono con cancelación de ruido AI, tecnología de renderizado MQA, Hi-Res ESS 9281 QUAD DAC, iluminación RGB, compatibles con PC, Nintendo Switch™ y Sony PlayStation ® 5.",{},ROG Delta S,"['Headsets & Audio', 'Headsets', 'USB Headsets']",https://rog.asus.com/ar/headsets-audio/headsets/usb-headsets/rog-delta-s-model/,https://dlcdnwebimgs.asus.com/gain/28EFE950-BAD3-4B17-9C43-05F86CA7B6B5/w185,90YH02K0-B2UA00,R_90YH02K0-B2UA00
